cohort_month,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22
2016-09-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,100.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.76,0.76,0.0,
2016-12-01,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-01-01,100.0,0.28,0.28,0.14,0.42,0.14,0.42,0.14,0.14,0.0,0.42,0.14,0.7,0.42,0.14,0.14,0.28,0.42,0.0,,,,
2017-02-01,100.0,0.18,0.31,0.12,0.43,0.12,0.25,0.18,0.12,0.18,0.12,0.31,0.12,0.18,0.12,0.06,0.06,0.18,,,,,
2017-03-01,100.0,0.44,0.36,0.4,0.36,0.16,0.16,0.32,0.32,0.08,0.36,0.12,0.2,0.12,0.16,0.24,0.08,,,,,,
2017-04-01,100.0,0.62,0.22,0.18,0.27,0.27,0.35,0.31,0.31,0.18,0.27,0.09,0.04,0.04,0.09,0.09,,,,,,,
2017-05-01,100.0,0.46,0.46,0.29,0.29,0.32,0.41,0.14,0.26,0.26,0.26,0.35,0.23,0.03,0.17,,,,,,,,
2017-06-01,100.0,0.49,0.4,0.43,0.3,0.4,0.36,0.23,0.13,0.2,0.3,0.36,0.16,0.16,,,,,,,,,
2017-07-01,100.0,0.53,0.35,0.24,0.29,0.21,0.32,0.11,0.19,0.27,0.21,0.29,0.13,,,,,,,,,,
2017-08-01,100.0,0.69,0.35,0.27,0.35,0.52,0.3,0.27,0.15,0.15,0.25,0.2,,,,,,,,,,,
2017-09-01,100.0,0.7,0.55,0.27,0.45,0.22,0.22,0.25,0.27,0.17,0.25,,,,,,,,,,,,
2017-10-01,100.0,0.72,0.25,0.09,0.23,0.21,0.21,0.37,0.28,0.18,,,,,,,,,,,,,
2017-11-01,100.0,0.57,0.37,0.17,0.17,0.18,0.11,0.18,0.13,,,,,,,,,,,,,,
2017-12-01,100.0,0.21,0.28,0.34,0.26,0.21,0.17,0.02,,,,,,,,,,,,,,,
2018-01-01,100.0,0.34,0.37,0.29,0.29,0.16,0.18,,,,,,,,,,,,,,,,
2018-02-01,100.0,0.35,0.4,0.3,0.25,0.22,,,,,,,,,,,,,,,,,
2018-03-01,100.0,0.4,0.3,0.3,0.12,,,,,,,,,,,,,,,,,,
2018-04-01,100.0,0.59,0.3,0.24,,,,,,,,,,,,,,,,,,,
2018-05-01,100.0,0.52,0.26,,,,,,,,,,,,,,,,,,,,
2018-06-01,100.0,0.43,,,,,,,,,,,,,,,,,,,,,
2018-07-01,100.0,,,,,,,,,,,,,,,,,,,,,,
